Raw Roll, Raw Pitch, Raw Yar, Raw X, Raw Y, Raw Z, DMP Roll, DMP Pitch, DMP Yaw
-0.016967773,0.005645752,0,40.98999,-825.4984,-40.890015,-0.00061035156,-0.00012207031,3.1415558,
-0.07745361,0.01637268,0,119.07066,881.7597,-119.280624,-0.00061035156,-0.00012207031,3.1415558,
-0.37919617,0.04814148,-0.0047912598,253.87697,3799.0923,-258.07605,-0.00592041,-0.00024414063,3.1414642,
-0.48910522,0.060394287,-0.0074920654,312.26727,5042.1636,-319.74554,-0.01763916,-0.0006713867,3.1412506,
-0.54911804,0.074401855,-0.0069274902,363.81842,6161.42,-372.3484,-0.01763916,-0.0006713867,3.1412506,
-0.6629944,0.0900116,-0.0184021,409.11438,7168.344,-423.8896,-0.03543091,-0.0010986328,3.1407928,
-0.90914917,0.107040405,-0.049682617,449.0807,8074.6694,-473.67554,-0.03543091,-0.0010986328,3.1407928,
-1.5954132,0.13917542,-0.14030457,518.7721,9626.01,-556.00934,-0.05895996,-0.0017089844,3.1400604,
-1.8474121,0.1542511,-0.17366028,548.67175,10287.653,-585.5842,-0.08786011,-0.0026245117,3.1388092,
-2.1639404,0.16781616,-0.2136383,575.48126,10883.029,-611.8015,-0.08786011,-0.0026245117,3.1388092,
-2.6169739,0.18247986,-0.2688446,600.70935,11419.263,-637.7964,-0.12176514,-0.003540039,3.1368256,
-3.1265106,0.19567871,-0.33052063,624.5143,11902.37,-663.49097,-0.12176514,-0.003540039,3.1368256,
-4.9401245,0.25727844,-0.5610504,679.3085,13082.157,-724.70074,-0.16027832,-0.004638672,3.1332855,
-5.5537567,0.28448486,-0.6401062,694.7532,13398.365,-744.1038,-0.20285034,-0.005859375,3.127121,
-6.0338593,0.30976868,-0.6990814,708.5532,13683.05,-759.367,-0.24859619,-0.0071411133,3.1142426,
-6.445999,0.3350067,-0.7496643,719.5736,13939.065,-767.3052,-0.24859619,-0.0071411133,3.1142426,
-6.9749146,0.36227417,-0.81326294,730.8915,14170.177,-775.74915,-0.29696655,-0.008605957,3.0806122,
-7.6424866,0.3868103,-0.89146423,742.3772,14379.176,-785.04834,-0.29696655,-0.008605957,3.0806122,
-10.470123,0.44973755,-1.2235107,769.0119,14887.056,-816.5004,-0.34762573,-0.0099487305,2.8266144,
